"Var1","Freq"
"Alabama Region",1181
"ARC of Alaska Region",167
"Arizona New Mexico El Paso Region",2188
"Cascades Region",971
"Central and South Texas Region",1336
"Central and Southern Illinois Region",799
"Central California Region",851
"Central Florida Region",1814
"Central Pennsylvania Region",569
"Chesapeake Region",1207
"Chicago and Northern Illinois Region",2232
"Colorado and Wyoming Region",1381
"Connecticut and Rhode Island Region",1077
"Dakotas Region",492
"Desert to the Sea Region",1405
"Eastern Missouri Region",916
"Eastern New York Region",682
"Eastern North Carolina Region",998
"Eastern Pennsylvania Region",1530
"Georgia Region",1969
"Gold Country Region",966
"Greater Cincinnati-Dayton Region",869
"Greater New York Region",3184
"Idaho and Montana Region",543
"Indiana Region",1447
"Iowa Region",735
"Kansas Nebraska SW Iowa Region",1115
"Kentucky Region",1075
"Los Angeles Region",2355
"Louisiana Region",1148
"Maine Region",358
"Massachusetts Region",1478
"Michigan Region",2813
"Minnesota Region",1278
"Mississippi Region",628
"National Capital Area Region",1132
"Nevada Region",687
"New Hampshire and Vermont Region",479
"New Jersey Region",2010
"North Florida Region",778
"North Texas Region",2073
"Northeast Ohio Region",1238
"Northern California Coastal Region",1821
"Northwest Region",1347
"Ohio Buckeye Region",949
"Oklahoma and Arkansas Region",1700
"Pacific Islands Region",351
"Puerto Rico Region",945
"San Diego Region",659
"South Carolina Region",1103
"South Florida Region",1653
"Tennessee Region",1553
"Texas Gulf Coast Region",1705
"Utah Region",588
"Virginia Region",1371
"West Virginia Region",484
"Western and Central New York Region",1052
"Western Missouri Region",849
"Western North Carolina Region",1197
"Western Pennsylvania Region",1119
"Wisconsin Region",1401
